,about,age,"b""Adapts Well To Apartment Living","b""Affectionate With Family","b""Dog Friendly","b""Drooling Potential","b""Energy Level","b""Exercise Needs","b""General Health","b""Good For Novice Owners","b""Intelligence","b""Intensity","b""Kid-Friendly","b""Potential For Weight Gain","b""Prey Drive","b""Size","b""Tolerates Hot Weather","b""Wanderlust Potential",b'Amount Of Shedding,b'Easy To Groom,b'Easy To Train,b'Friendly Toward Strangers,b'Potential For Mouthiness,b'Potential For Playfulness,b'Sensitivity Level,b'Tendency To Bark Or Howl,b'Tolerates Being Alone,b'Tolerates Cold Weather,group,height,url,weight
90,"b'Brittanys were bred as gundogs, and they definitely have birds on the brain. Although they\xe2\x80\x99re often called Brittany Spaniels, the American Kennel Club dropped the word \xe2\x80\x9cspaniel\xe2\x80\x9d from this pointing breed\xe2\x80\x99s name in 1982.These energetic dogs are versatile family companions and hunting dogs who work more closely to hunters than other pointing breeds. If you can satisfy their high energy and exercise needs, this may be the breed for you!DogTime recommends this dog bed to give a good night\xe2\x80\x99s sleep to your medium-sized Brittany.\xc2\xa0You should also pick up this dog water bottle for any outdoor adventures you have with your pup!See all dog breed traits and facts about Brittanys below!Brittany Dog Breed Pictures Brittany Dog Breed Information, Pictures, Characteristics & Facts - DogtimeInitiate Gallery'",10 to 13 years',1,5,5,5,5,5,4,3,5,3,5,3,5,3,3,4,3,3,3,4,3,5,5,3,1,4,Sporting Dogs',"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder'",https://dogtime.com/dog-breeds/brittany,30 to 40 pounds'
91,"b'The Broholmer is a large purebred dog from Denmark in northern Europe. Calm, protective, and friendly, this pup has some of the best qualities of any dog breed around!Broholmers go by a couple of other names, such as the Danish Mastiff or the Danish Broholmer. You may be able find these dogs at your local shelter or rescues. Please remember to adopt! Don\xe2\x80\x99t shop!These protective pooches can do fine in apartments but, because of their large size, are better suited for townhomes or something larger, preferably with a yard. They\xe2\x80\x99re pack dogs and like to be around people, so larger households or families with children are perfect for them. If you want a protective, calm, large pooch who will love you unconditionally, then this may be the right dog for you!See below for all dog breed traits and facts about Broholmers!Broholmer Dog Breed Pictures Broholmer Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",8 to 12 years.',2,5,3,2,3,3,4,4,4,3,4,3,2,5,3,2,3,4,4,3,3,3,3,3,3,3,Companion Dogs',22 to 30 inches.',https://dogtime.com/dog-breeds/broholmer,90 to 150 pounds.'
92,"b'Originally bred to hunt and kill rats, this former Belgian street dog is a distinctive and unusual dog breed. Although the Brussels Griffon is small, they\xe2\x80\x99re hardly a pampered pooch. Affectionate and lively, their intelligence, sense of humor, and air of self-importance keep them one step ahead of their people, who adore their pups anyway.Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Don\xe2\x80\x99t shop if you want to bring a dog home.Griffons adapt well to apartment life, but the neighbors might not appreciate this tiny watchdog\xe2\x80\x99s tendency to sound off at any sign of what they believe to be trouble. These dogs also have quite a bit of energy for their size and need lots of exercise and playtime. Novice pet parents who expect a docile lapdog might find that this pup doesn\xe2\x80\x99t sit still as long as they were hoping. But humans who can meet the breed\xe2\x80\x99s needs and keep up with training will be rewarded with a loving, loyal family member.See below for complete list of dog breed traits and facts about Brussels Griffons!Brussels Griffon Dog Breed Pictures Brussels Griffon Dog Breed Information, Pictures, Characteristics & Facts \xe2\x80\x93 DogTimeInitiate Gallery'",12 to 15 years',5,5,4,3,5,4,3,2,4,3,4,3,1,1,2,5,3,3,3,3,3,5,5,4,1,1,Companion Dogs',7 to 8 inches tall at the shoulder',https://dogtime.com/dog-breeds/brussels-griffon,7 to 12 pounds'
93,"b'The Bugg is a mixed breed dog \xe2\x80\x94 a cross between the Boston Terrier and Pug\xc2\xa0dog breeds. Intelligent, affectionate, and spunky, these pups inherited some of the best traits from both of their parents.The Bugg is sometimes called the Pugin or simply the Boston Terrier Pug.\xc2\xa0Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Don\xe2\x80\x99t shop!These cute pups are great apartment and house dogs, alike. Since they don\xe2\x80\x99t require as much exercise as larger breeds, they\xe2\x80\x99re an excellent choice for seniors or first-time owners. Still, this mix is an intelligent, playful dog, and they love being the center of attention. If you are looking for a silly pooch who will be glued to your side most of the time, this may be the right dog for you!See below for all Bugg facts and mixed dog breed characteristics!Bugg Mixed Dog Breed Pictures Bugg Mixed Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",10 to 15 years',5,4,2,2,4,2,4,4,4,3,3,4,3,2,3,2,2,4,3,3,4,4,3,4,2,2,Mixed Breed Dogs',14 to 18 inches',https://dogtime.com/dog-breeds/bugg,10 to 25 pounds'
94,"b'The Bull-Pei is a mixed breed dog\xe2\x80\x93a cross between the Chinese Shar-Pei and\xc2\xa0English Bulldog breeds. Medium in size, loving, and loyal, these pups inherited some of the best traits from both of their parents.Despite their unfortunate status as a designer breed, you may find these pups in shelters and breed specific rescues, so remember to adopt! Don\xe2\x80\x99t shop!Bull-Peis make excellent companions and guard dogs without being too large or requiring much exercise. They\xe2\x80\x99re striking to look at because of their wrinkles. Just make sure that you have the time to keep your pup clean and dry, as they are prone to getting skin infections between the wrinkles.These dogs can live in apartments or houses. If you\xe2\x80\x99re looking for a chill companion dog who looks quite distinguished, the Bull-Pei may be perfect for you.DogTime recommends this carrier for traveling with your small Bull-Pei.\xc2\xa0You should also pick up this dog brush and massager for your short-haired pup!See below for all mixed dog breed traits and facts about Bull-Peis!Bull-Pei Mixed Dog Breed Pictures Bull-Pei Mixed Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",9 to 11 years',4,3,2,3,2,2,3,2,2,2,2,4,2,3,1,1,4,4,3,2,4,2,3,2,3,1,Mixed Breed Dogs',16 to 18 inches',https://dogtime.com/dog-breeds/bull-pei,35 to 65 pounds'
95,"b'The Bull Terrier was originally developed in the 19th century as a fighting dog and, later, a fashionable companion for gentlemen, but these days they\xe2\x80\x99re a family companion and show dog. They\xe2\x80\x99re a dog breed distinguished by their long, egg-shaped head.Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you.This dog is a lover, not a fighter. In fact, Bull Terriers are known for being affectionate to all the members of their household, especially children. Their friendliness and love of people also means they don\xe2\x80\x99t like to be left alone for long hours, though. They want to be a part of all their humans\xe2\x80\x99 daily activities. Because they have high energy and intensity, these dogs need plenty of exercise and vigorous playtime. If you can be firm and consistent with training, stay active to keep up with your pup, and provide plenty of love and attention, then this dog may be your new best friend!DogTime recommends this dog bed to give a good night\xe2\x80\x99s sleep to your medium-sized Bull Terrier.\xc2\xa0You should also pick up this dog brush and massager for your short-haired pup!See below for complete list of Bull Terrier dog breed facts and characteristics!Bull Terrier Dog Breed Pictures Bull Terrier Dog Breed Information, Pictures, Characteristics & Facts - DogtimeInitiate Gallery'",10 to 15 years',4,5,4,1,4,5,4,3,4,5,5,5,4,2,4,5,3,5,5,5,4,5,5,1,2,1,Terrier Dogs',21 to 22 inches tall at the shoulder',https://dogtime.com/dog-breeds/bull-terrier,35 to 75 pounds'
96,"b'The Bullador is a mixed breed dog\xe2\x80\x93a cross between the Labrador and\xc2\xa0English Bulldog breeds. These pups fall into the medium-to-large size range. Active and loyal, Bulladors inherited some of the best traits from both of their parents.Bulladors should not be confused with Labrabulls\xe2\x80\x93Labrador Retriever and Pit Bull mixes. Despite their unfortunate status as a designer breed, you can find these mixed pups in shelters and breed specific rescues, so remember to adopt! Don\xe2\x80\x99t shop!PB= PB || {};gptAds= PB.gptAds || {};var opts= {""asBool"":false,""adUnit"":""\\/4403\\/th\\/dogtime\\/dogbreeds"",""adDiv"":""dogbreeds_300x250_p_slot1"",""sizeStr"":""[[300, 250]]"",""mapping"":[{""viewport"":""[0, 0]"",""sizes"":""[]""},{""viewport"":""[750, 0]"",""sizes"":""[[300, 250]]""},{""viewport"":""[980, 0]"",""sizes"":""[[300, 250]]""}],""targeting"":{""pos"":""P"",""ct"":""article"",""ci"":""85533"",""content_detail"":1,""kw"":""english-bulldog-mix,high-energy,indoor,labrador-retriever-mix,medium-dog,mixed-breed,short-hair,in-article"",""coppa"":""0"",""site"":""dogtime""},""resize"":false,""autoRefresh"":false};PB.waitForAS= (opts.asBool) ? true : PB.waitForAS || false;admiralCookie = readAdmiralCookie();if (admiralCookie === null || admiralCookie[\'val\'] === \'false\') {PB.evGPTBuilder.enqueueAd(opts);}PB= PB || {};gptAds= PB.gptAds || {};var opts= {""asBool"":false,""adUnit"":""\\/4403\\/th\\/dogtime\\/dogbreeds"",""adDiv"":""pb_prebidjs_300x250_a"",""sizeStr"":""[[300, 250]]"",""mapping"":[{""viewport"":""[0, 0]"",""sizes"":""[[300, 250]]""},{""viewport"":""[750, 0]"",""sizes"":""[]""},{""viewport"":""[980, 0]"",""sizes"":""[]""}],""targeting"":{""pos"":""A"",""ct"":""article"",""ci"":""85533"",""content_detail"":1,""kw"":""english-bulldog-mix,high-energy,indoor,labrador-retriever-mix,medium-dog,mixed-breed,short-hair,in-article-mobile"",""coppa"":""0"",""site"":""dogtime""},""resize"":false,""autoRefresh"":false};PB.waitForAS= (opts.asBool) ? true : PB.waitForAS || false;admiralCookie = readAdmiralCookie();if (admiralCookie === null || admiralCookie[\'val\'] === \'false\') {PB.evGPTBuilder.enqueueAd(opts);}If you are a longtime dog parent and want to add a social, furry companion to your family, please step right up! Big homes with yards are ideal but not required. Bulladors can live in apartments as long as they get plenty of exercise and lots of love. They\xe2\x80\x99re protective of their loved ones and friendly with people, children, and other dogs. Don\xe2\x80\x99t leave them alone for long periods, though, or else they may become bored and destructive.DogTime recommends this dog bed to give a good night\xe2\x80\x99s sleep to your medium-sized Bullador.\xc2\xa0You should also pick up this dog brush and massager for your short-haired pup!See below for all Bullador facts and mixed dog breed characteristics!Bullador Mixed Dog Breed Pictures Bullador Mixed Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",10 to 12 years',2,4,4,4,4,4,3,2,4,4,4,5,4,4,2,3,4,4,4,4,2,4,4,4,2,2,Mixed Breed Dogs',17 to 20 inches',https://dogtime.com/dog-breeds/bullador,50 to 90 pounds'
97,"b'The Bullboxer Pit is a mixed breed dog \xe2\x80\x94 a cross between the Boxer and American Pit Bull Terrier dog breeds. Powerful, faithful, and energetic, these pups inherited some of the best traits from both of their parents.Bullboxer Pits are also sometimes called the Pixoter or American Bullboxer. You may find these mixed breed dogs in shelters and rescues, so remember to always adopt! Don\xe2\x80\x99t shop if you\xe2\x80\x99re looking to add one of these pups to your home!Bullboxer Pits can be loyal and protective companions, and they often bond well with children. But due to the dog\xe2\x80\x99s natural strength and sometimes stubborn streak, it is imperative that they are socialized both from a very young age and throughout their lifetime. Reward-based training works particularly well with this mixed breed. An attentive and responsible pet parent will bring the best out of the Bullboxer Pit.See below for all mixed dog breed traits and facts about Bullboxer Pits!Bullboxer Pit Mixed Dog Breed Pictures Bullboxer Pit Mixed Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",10 to 14 years',1,4,2,4,5,5,4,2,4,5,4,4,5,3,2,3,4,4,2,2,4,4,3,4,2,2,Mixed Breed Dogs',16 to 20 inches',https://dogtime.com/dog-breeds/bullboxer-pit,50 to 80 pounds'
98,"b'The Bulldog was originally used to drive cattle to market and to compete in a bloody sport called bullbaiting. Today, they\xe2\x80\x99re gentle companions who love kids.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember to\xc2\xa0adopt! Don\xe2\x80\x99t shop if you want to bring a dog home.PB= PB || {};gptAds= PB.gptAds || {};var opts= {""asBool"":false,""adUnit"":""\\/4403\\/th\\/dogtime\\/dogbreeds"",""adDiv"":""dogbreeds_300x250_p_slot1"",""sizeStr"":""[[300, 250]]"",""mapping"":[{""viewport"":""[0, 0]"",""sizes"":""[]""},{""viewport"":""[750, 0]"",""sizes"":""[[300, 250]]""},{""viewport"":""[980, 0]"",""sizes"":""[[300, 250]]""}],""targeting"":{""pos"":""P"",""ct"":""article"",""ci"":""23140"",""content_detail"":1,""kw"":""dog-breed,indoor,low-energy,purebred,short-hair,small-dog,in-article"",""coppa"":""0"",""site"":""dogtime""},""resize"":false,""autoRefresh"":false};PB.waitForAS= (opts.asBool) ? true : PB.waitForAS || false;admiralCookie = readAdmiralCookie();if (admiralCookie === null || admiralCookie[\'val\'] === \'false\') {PB.evGPTBuilder.enqueueAd(opts);}PB= PB || {};gptAds= PB.gptAds || {};var opts= {""asBool"":false,""adUnit"":""\\/4403\\/th\\/dogtime\\/dogbreeds"",""adDiv"":""pb_prebidjs_300x250_a"",""sizeStr"":""[[300, 250]]"",""mapping"":[{""viewport"":""[0, 0]"",""sizes"":""[[300, 250]]""},{""viewport"":""[750, 0]"",""sizes"":""[]""},{""viewport"":""[980, 0]"",""sizes"":""[]""}],""targeting"":{""pos"":""A"",""ct"":""article"",""ci"":""23140"",""content_detail"":1,""kw"":""dog-breed,indoor,low-energy,purebred,short-hair,small-dog,in-article-mobile"",""coppa"":""0"",""site"":""dogtime""},""resize"":false,""autoRefresh"":false};PB.waitForAS= (opts.asBool) ? true : PB.waitForAS || false;admiralCookie = readAdmiralCookie();if (admiralCookie === null || admiralCookie[\'val\'] === \'false\') {PB.evGPTBuilder.enqueueAd(opts);}A brief walk and a nap on the sofa is just this dog breed\xe2\x80\x98s speed. Bulldogs can adapt well to apartment life and even make great companions for novice pet parents. They\xe2\x80\x99re affectionate with all members of the family and are fairly low-maintenance pups. Just make sure to keep them out of extreme weather, and also give them enough exercise, as weight gain is a risk with these dogs who are happy to spend most of the day on the couch.Did you know they make dog food specifically for Bulldogs?See below for complete list of dog breed traits and facts about Bulldogs!Bulldog Breed Pictures Bulldog Dog Breed Information, Pictures, Characteristics & Facts \xe2\x80\x93 DogTimeInitiate Gallery'",8 to 12 years',5,5,2,5,2,3,4,4,2,3,4,5,2,2,1,1,3,5,3,5,2,4,4,4,3,1,Companion Dogs',12 to 15 inches tall at the shoulder',https://dogtime.com/dog-breeds/bulldog,40 to 50 pounds'
99,"b'The Bullmastiff dog breed is a firm and fearless family guardian. While standoffish toward strangers, they\xe2\x80\x99ve got a soft spot for their loved ones.Called the \xe2\x80\x9csilent watchdog,\xe2\x80\x9d this breed is nonetheless so mellow that they make great apartment dogs. They have short, easy-care coats, but beware: These dogs are droolers. If you can get past a little slobber, you\xe2\x80\x99ll find a big, protective companion who will be happy to join you on adventures, so long as you save a spot on the couch for them afterward.DogTime recommends this big, spacious crate to give big Bullmastiffs a place to rest and relax.\xc2\xa0You should also pick up this dog brush and massager for your short-haired pup!See all Bullmastiff dog breed traits and facts below!Bullmastiff Dog Breed Pictures Bullmastiff Dog Breed Information, Pictures, Characteristics & Facts - DogtimeInitiate Gallery'",8 to 10 years',3,5,4,5,2,3,2,2,3,4,5,5,3,5,2,3,1,5,3,3,3,5,4,4,2,4,Working Dogs',24 to 27 inches at the shoulder',https://dogtime.com/dog-breeds/bullmastiff,100 to 130 pounds'
100,"b'The Bullmatian is a mixed breed dog \xe2\x80\x94 a cross between the Bulldog and Dalmatian dog breeds. Loving, energetic, and friendly, these pups inherited some of the best qualities from both of their parents.You may find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don\xe2\x80\x99t shop if you\xe2\x80\x99re looking to add a Bullmatian to your home!Bullmatians are top-notch companion dogs. This mixed breed is known to be loving and friendly and also does very well around children. However, this energetic dog will need a high amount of regular exercise and a variety of play sessions. If you\xe2\x80\x99re a rookie dog owner, then you should know that Bullmatians have a reputation for stubborness at times \xe2\x80\x94 they\xe2\x80\x99re most likely to make a good fit for a seasoned dog owner who has a lot of experience training dogs.See below for all Bullmatian facts and mixed dog breed characteristics!Bullmatian Mixed Dog Breed Pictures Bullmatian Mixed Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",8 to 12 years',2,4,4,3,5,4,4,1,4,4,5,4,3,3,2,3,2,4,1,3,3,4,3,2,3,2,Mixed Breed Dogs',11 to 24 inches',https://dogtime.com/dog-breeds/bullmatian,41 to 65 pounds'
101,"b'The Cairn Terrier dog breed is a small working terrier developed on the Isle of Skye in Scotland. Farmers used them to rid their property of vermin, and they needed a dog with courage, tenacity, and intelligence\xe2\x80\x94characteristics still found in today\xe2\x80\x99s Cairn.Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you.Cairn Terriers are sensible, independent, and friendly dogs who excel as family companions. Compact and affectionate, these dogs do well in apartments and large homes with novice pet parents and experienced dog lovers, alike. They do, however, have high energy and will need their humans to keep them active with walks and play sessions. Cairn Terriers don\xe2\x80\x99t enjoy being left home alone for long hours during the day, so make sure you can provide them with plenty of love and attention for their well-being if you decide that this is the breed for you.DogTime recommends this carrier for traveling with your small Cairn Terrier.\xc2\xa0You should also pick up this interactive puzzle toy to keep your pup active indoors!See below for complete list of Cairn Terrier characteristics!Cairn Terrier Dog Breed Pictures Cairn Terrier Dog Breed Information, Pictures, Characteristics & Facts - DogtimeInitiate Gallery'",12 to 15 years',5,5,4,1,5,4,4,4,5,4,5,3,4,1,4,3,3,5,2,4,3,5,3,4,1,4,Terrier Dogs',9 to 10 inches tall at the shoulder',https://dogtime.com/dog-breeds/cairn-terrier,13 to 14 pounds'
102,"b'The Canaan Dog is a pariah dog that has survived in the desert region of Israel for thousands of years. Believed to be the dog breed that the Hebrews used in biblical times to herd and guard their flocks and encampments, some are still used by Bedouins and Druse for this purpose today.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember to\xc2\xa0adopt! Don\xe2\x80\x99t shop if you want to bring a dog home.In Europe and North America, Canaan Dogs are companions and compete in dog sports such as conformation, agility, and obedience. They\xe2\x80\x99re highly adaptable and can even adjust to apartment life, so long as their humans can meet the breed\xe2\x80\x99s exercise needs. However, as an ancient pack breed, they need firm leadership and consistent training. While they\xe2\x80\x99re smart, they can also be stubborn. Use positive reinforcement, and you\xe2\x80\x99ll have a pooch who\xe2\x80\x99s eager to please.See below for complete dog breed traits and facts about Canaan Dogs!Canaan Dog Breed Pictures Canaan Dog Breed Information, Pictures, Characteristics & Facts \xe2\x80\x93 DogTimeInitiate Gallery'",12 to 15 years',4,4,3,1,4,3,5,2,4,3,2,2,3,3,5,2,4,5,5,2,3,4,4,3,3,3,Herding Dogs',19 to 24 inches tall at the shoulder',https://dogtime.com/dog-breeds/canaan-dog,35 to 55 pounds'
103,"b'The Cane Corso is a working dog who absolutely loves having a job to do. This old Italian dog breed was developed to guard property and hunt big game such as wild boar.Although these are purebred dogs, you may find them in the care of rescue groups or shelters. Remember to adopt! Don\xe2\x80\x99t shop if you want to bring one of these dogs home.Cane Corsos are powerful and athletic, best suited to experienced pet parents who have large, securely fenced yards. They\xe2\x80\x99ll definitely need their humans to give them a task; otherwise, they may find their own ways to reduce boredom \xe2\x80\x94 probably with destructive behavior. If you can give your dog plenty of space, exercise, and training, then this may be the breed for you!See below for all dog breed traits and facts about Cane Corsos!Cane Corso Dog Breed Pictures Cane Corso Dog Breed Information, Pictures, Characteristics & FactsInitiate Gallery'",10 to 12 years',1,4,3,4,4,5,3,1,5,3,2,4,5,4,4,2,3,5,4,2,2,2,3,3,1,3,Working Dogs',"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder'",https://dogtime.com/dog-breeds/cane-corso,90 to 120 pounds'
104,"b'The Cardigan Welsh Corgi is the older of the two Corgi dog breeds, with dogs of this type believed to have existed in Wales for more than 3,000 years.Throughout history, people used these dogs to drive cattle to market. These days, they mostly love to spend time with their families and are active, fun-loving playmates for school-age children.The Cardigan is distinguished by their long tail \xe2\x80\x94 like the sleeves of a cardigan sweater.\xc2\xa0Their medium-length coat comes in many colors and patterns, including red, brindle, blue merle, and black, usually with white markings. Known as the yard-long dog, the breed is sensible and affectionate.See below for all dog breed traits and facts about Cardigan Welsh Corgis!Cardigan Welsh Corgi Dog Breed Pictures Cardigan Welsh Corgi Dog Breed Information, Pictures, Characteristics & FactsInitiate Gallery Stuff For Corgi Lovers'",12 to 15 years',4,5,3,1,3,3,4,4,5,3,4,4,4,2,3,3,4,3,4,3,2,4,4,4,3,4,Herding Dogs',10 inches to 1 foot tall at the shoulder',https://dogtime.com/dog-breeds/cardigan-welsh-corgi,25 to 38 pounds'
105,"b'Indigenous to the United States, the Carolina Dog is a rare, primitive dog breed and relatively new to domesticity. They are medium in size, agile, and independent; they\xe2\x80\x99re also known for being very clean dogs.The Carolina Dog is also sometimes called the Yellow Dog, the American Dingo, the Dixie Dingo, and the Yaller. They were feral and lived in the Southeastern United States for hundreds of years, and they\xe2\x80\x99re still found in the wild in some parts of Georgia and South Carolina.Carolina Dogs are probably not going to be overly affectionate but will form close bonds with their humans. Show them strong leadership and let them know you\xe2\x80\x99re in charge when training. They may act reserved and wary of strangers, but they don\xe2\x80\x99t tend to behave aggressively.Canines of this breed are pack dogs through and through, and they\xe2\x80\x99d thrive in multi-dog and person homes, forming loving bonds with other dogs and humans alike. They have a high prey drive, so you must watch them closely around other small animals. They love big families and big homes with yards where they can run around. Carolina Dogs are incredibly loyal to their humans and sweet and playful with kids.DogTime recommends this dog bed to give a good night\xe2\x80\x99s sleep to your medium-sized Carolina Dog.\xc2\xa0You should also pick up this dog fetch toy to help burn off your pup\xe2\x80\x99s high energy!See below for complete list of Carolina Dog breed facts and traits!Carolina Dog Breed Pictures Carolina Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",12 to 15 years',2,2,5,2,4,4,5,2,4,5,3,4,5,3,4,3,4,4,2,2,2,3,2,1,1,4,Hound Dogs',18 to 20 inches at the shoulder',https://dogtime.com/dog-breeds/carolina-dog,33 to 55 pounds'
106,"b'The Catahoula Bulldog is a mixed breed dog\xe2\x80\x93a cross between the Catahoula Leopard Dog and American Bulldog dog breeds. Agile, energetic, and loyal, these pups inherited some of the best qualities from both of their parents.Catahoula Bulldogs are also known as American Mastahoulas. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don\xe2\x80\x99t shop if you\xe2\x80\x99re looking to add one of these mixed breed pups to your home!When living with a Catahoula Bulldog, you\xe2\x80\x99ll find they\xe2\x80\x99re exceptionally high energy dogs with a large amount of intelligence\xe2\x80\x93so you\xe2\x80\x99ll need to ensure that you can provide the mixed breed with almost constant attention and exercise. They\xe2\x80\x99re also very loyal and protective\xe2\x80\x93intruders will set off the alert dog\xe2\x80\x99s guarding instincts.See below for all mixed dog breed traits and facts about Catahoula Bulldogs!Catahoula Bulldog Mixed Dog Breed Pictures Catahoula Bulldog Mixed Dog Breed Pictures, Characteristics, & FactsInitiate Gallery'",10 to 14 years',1,4,2,1,5,5,4,1,3,5,3,3,5,4,5,3,1,5,2,1,4,4,2,3,3,1,Mixed Breed Dogs',24 to 26 inches',https://dogtime.com/dog-breeds/catahoula-bulldog,75 to 100 pounds'
107,"b'The Catahoula Leopard Dog\xc2\xa0breed has a striking appearance and a strong work ethic. They\xe2\x80\x99re a tough dog, bred to work in swamps and forests, and they require a leader who is firm and consistent, with time to keep them occupied.Although these are rare, purebred dogs, you may find them in the care of rescue groups or shelters. Remember to adopt! Don\xe2\x80\x99t shop if you want to bring a dog home!PB= PB || {};gptAds= PB.gptAds || {};var opts= {""asBool"":false,""adUnit"":""\\/4403\\/th\\/dogtime\\/dogbreeds"",""adDiv"":""dogbreeds_300x250_p_slot1"",""sizeStr"":""[[300, 250]]"",""mapping"":[{""viewport"":""[0, 0]"",""sizes"":""[]""},{""viewport"":""[750, 0]"",""sizes"":""[[300, 250]]""},{""viewport"":""[980, 0]"",""sizes"":""[[300, 250]]""}],""targeting"":{""pos"":""P"",""ct"":""article"",""ci"":""23278"",""content_detail"":1,""kw"":""dog-breed,high-energy,indoor,large-dog,purebred,short-hair,in-article"",""coppa"":""0"",""site"":""dogtime""},""resize"":false,""autoRefresh"":false};PB.waitForAS= (opts.asBool) ? true : PB.waitForAS || false;admiralCookie = readAdmiralCookie();if (admiralCookie === null || admiralCookie[\'val\'] === \'false\') {PB.evGPTBuilder.enqueueAd(opts);}PB= PB || {};gptAds= PB.gptAds || {};var opts= {""asBool"":false,""adUnit"":""\\/4403\\/th\\/dogtime\\/dogbreeds"",""adDiv"":""pb_prebidjs_300x250_a"",""sizeStr"":""[[300, 250]]"",""mapping"":[{""viewport"":""[0, 0]"",""sizes"":""[[300, 250]]""},{""viewport"":""[750, 0]"",""sizes"":""[]""},{""viewport"":""[980, 0]"",""sizes"":""[]""}],""targeting"":{""pos"":""A"",""ct"":""article"",""ci"":""23278"",""content_detail"":1,""kw"":""dog-breed,high-energy,indoor,large-dog,purebred,short-hair,in-article-mobile"",""coppa"":""0"",""site"":""dogtime""},""resize"":false,""autoRefresh"":false};PB.waitForAS= (opts.asBool) ? true : PB.waitForAS || false;admiralCookie = readAdmiralCookie();if (admiralCookie === null || admiralCookie[\'val\'] === \'false\') {PB.evGPTBuilder.enqueueAd(opts);}These pups are very affectionate with their humans, but they do need lots of exercise. They\xe2\x80\x99ll do best in a home with a big, fenced in yard and experienced pet parents. If you can meet their needs, you\xe2\x80\x99ll have a loving family member who can keep you on your toes.See below for complete list dog breed traits and facts about Catahoula Leopard Dogs!Catahoula Leopard Dog Breed Pictures Catahoula Leopard Dog Breed Information, Pictures, Characteristics & Facts - DogtimeInitiate Gallery'",10 to 14 years',1,5,1,1,4,5,3,1,3,3,3,3,1,4,3,3,3,5,2,1,3,2,2,3,2,3,Herding Dogs',20 to 26 inches tall at the shoulder',https://dogtime.com/dog-breeds/catahoula-leopard-dog,50 to 90 pounds'
108,"b'Loyal, strong, and courageous, the Caucasian Shepherd Dog is a fierce family protector. They were bred to care for flocks and defend the home against wild predators in the rough Caucasus Mountain region. They\xe2\x80\x99re also known as Caucasian Mountain Dogs, Russian Bear Dogs, Baskhan (Karachay) Pariy, Caucasian Ovcharka Dogs, or just CO, and there are many variants and types.This massive breed is highly territorial and won\xe2\x80\x99t back down from a fight, even against bears or wolves. Caucasian Shepherd Dogs are intelligent, but their stubborn, independent nature can make them difficult to train. Their natural distrust of strangers and other animals can also lead to aggressive tendencies if an experienced trainer doesn\xe2\x80\x99t keep them in check.This breed is not a good choice for novice owners, and though they are fairly low-energy dogs, the sheer size of Caucasian Shepherd Dogs makes them poorly suited for apartment living and homes with small children. Still, with proper training and socialization, Caucasian Shepherd Dogs can make strong watchdogs, family companions, and even therapy dogs.While they may not appeal to first-time dog owners, Caucasian Shepherd Dogs will reward experienced, patient, consistent trainers with gentle love and affection that will make them excellent lifelong family members.See below for full list of Caucasian Shepherd Dog characteristics!Caucasian Shepherd Dog Pictures Caucasian Shepherd Dog Breed Information & Pictures \xe2\x80\x93 DogtimeInitiate Gallery'",10 to 12 years',2,4,2,4,2,2,3,1,4,4,2,4,3,5,2,2,4,2,2,2,4,3,2,3,3,5,Working Dogs',24 to 34 inches',https://dogtime.com/dog-breeds/caucasian-shepherd-dog,80 to 220 pounds'
